"class","checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","credit_per_month","age_bin","duration_bin","is_rent","credit_per_age"
"1",1,"15",3,4,"1721",2,2,"2",3,2,"3",3,"36",1,1,"1",1,"1",0,1,114.73333333333332,2,0,"0",47.80555555555556
"1",1,"24",3,9,"2924",2,0,"3",3,1,"4",2,"63",0,1,"1",1,"2",1,1,121.83333333333331,4,0,"0",46.41269841269841
"1",3,"24",2,9,"4679",2,1,"3",3,2,"3",0,"35",1,1,"2",3,"1",1,1,194.95833333333337,1,0,"0",133.68571428571428
"1",3,"39",3,9,"2569",1,0,"4",3,2,"4",0,"24",1,1,"1",1,"1",0,1,65.87179487179488,0,2,"0",107.04166666666669
"1",0,"24",3,4,"1201",2,2,"4",3,2,"1",1,"26",1,1,"1",1,"1",0,1,50.041666666666664,1,0,"0",46.19230769230769
"1",3,"12",3,6,"3077",2,0,"2",3,2,"4",0,"52",1,1,"1",1,"1",1,1,256.4166666666667,3,4,"0",59.17307692307692
"2",0,"27",4,0,"8318",2,3,"2",0,2,"4",2,"42",1,0,"2",0,"1",1,1,308.0740740740741,2,1,"0",198.04761904761904
"1",2,"15",3,0,"2687",2,1,"2",3,2,"4",1,"26",1,2,"1",1,"1",1,1,179.13333333333333,1,0,"1",103.34615384615384
"1",1,"6",1,4,"609",2,1,"4",0,2,"3",1,"37",1,1,"2",1,"1",0,0,101.5,2,4,"0",16.45945945945946
"1",1,"6",1,4,"1361",2,2,"2",3,2,"4",3,"40",1,1,"1",3,"2",0,0,226.83333333333337,2,4,"0",34.025
"2",3,"36",1,3,"7127",2,2,"2",0,2,"4",1,"23",1,2,"2",1,"1",1,1,197.97222222222223,0,1,"1",309.8695652173913
"1",1,"6",3,4,"1203",0,3,"3",3,2,"2",1,"43",1,1,"1",1,"1",1,1,200.5,2,4,"0",27.976744186046513
"1",3,"24",3,9,"3488",0,1,"3",0,2,"4",0,"23",1,1,"1",1,"1",0,1,145.33333333333334,0,0,"0",151.65217391304347
"1",1,"6",3,4,"662",2,2,"3",3,2,"4",3,"41",1,1,"1",3,"2",1,1,110.33333333333331,2,4,"0",16.146341463414632
"2",0,"15",3,4,"2631",0,0,"2",0,2,"4",0,"28",1,2,"2",1,"1",1,1,175.4,1,0,"1",93.96428571428572
"2",1,"48",3,4,"7763",2,3,"4",3,2,"4",2,"42",0,0,"1",0,"1",0,1,161.72916666666666,2,2,"0",184.83333333333337
"1",3,"12",1,4,"1255",2,3,"4",3,2,"4",3,"61",1,1,"2",3,"1",0,1,104.58333333333331,4,4,"0",20.57377049180328
"1",1,"24",3,9,"2964",4,3,"4",3,2,"4",2,"49",0,0,"1",1,"2",1,1,123.5,3,0,"0",60.48979591836735
"1",3,"30",1,6,"5954",2,1,"3",3,0,"2",0,"38",1,1,"1",1,"1",0,1,198.46666666666667,2,1,"0",156.68421052631578
"1",3,"24",1,2,"1927",4,0,"3",0,2,"2",0,"33",1,1,"2",1,"1",1,1,80.29166666666667,1,0,"0",58.39393939393939
"1",3,"24",3,8,"937",2,2,"4",2,2,"3",0,"27",1,1,"2",3,"1",0,1,39.041666666666664,1,0,"0",34.7037037037037
"2",0,"18",1,4,"1056",2,3,"3",3,1,"3",3,"30",0,1,"2",1,"1",0,1,58.666666666666664,1,0,"0",35.2
"2",1,"24",0,5,"1358",4,3,"4",3,2,"3",0,"40",2,1,"1",0,"1",1,1,56.583333333333336,2,0,"0",33.95
"1",2,"10",3,3,"1275",2,2,"4",0,2,"2",1,"23",1,1,"1",1,"1",0,1,127.5,0,4,"0",55.43478260869565
"1",1,"24",0,3,"2828",1,0,"4",3,2,"4",3,"22",2,1,"1",1,"1",1,1,117.83333333333331,0,0,"0",128.54545454545453
"1",0,"60",2,6,"9157",4,0,"2",3,2,"2",2,"27",1,0,"1",0,"1",0,1,152.61666666666667,1,2,"0",339.14814814814815
"2",0,"30",3,3,"3441",0,0,"2",0,0,"4",0,"21",1,2,"1",1,"1",0,1,114.7,0,1,"1",163.85714285714286
"1",1,"12",3,3,"1858",2,2,"4",0,2,"1",0,"22",1,2,"1",1,"1",0,1,154.83333333333334,0,4,"1",84.45454545454545
"2",0,"9",0,4,"1437",0,1,"2",3,2,"3",2,"29",1,1,"1",1,"1",0,1,159.66666666666666,1,4,"0",49.55172413793103
"1",3,"12",3,2,"1393",2,3,"4",3,2,"4",1,"47",0,1,"3",1,"2",1,1,116.08333333333331,3,4,"0",29.638297872340427
"2",2,"24",3,4,"947",2,1,"4",3,2,"3",2,"38",0,0,"1",1,"2",0,1,39.458333333333336,2,0,"0",24.92105263157895
"1",1,"48",3,2,"7476",2,1,"4",3,2,"1",2,"50",1,0,"1",0,"1",1,1,155.75,3,2,"0",149.52
"1",1,"14",3,4,"3973",2,4,"1",3,2,"4",2,"22",1,0,"1",1,"1",0,1,283.7857142857143,0,0,"0",180.5909090909091
"2",1,"12",3,4,"900",4,0,"4",2,2,"2",0,"23",1,1,"1",1,"1",0,1,75.0,0,4,"0",39.130434782608695
"1",2,"6",1,2,"1047",2,0,"2",0,2,"4",1,"50",1,1,"1",3,"1",0,1,174.5,3,4,"0",20.94
"1",0,"30",0,3,"3496",3,0,"4",3,2,"2",0,"34",2,1,"1",1,"2",1,1,116.53333333333332,1,1,"0",102.82352941176472
"1",3,"24",1,0,"4139",0,0,"3",3,2,"3",1,"27",1,1,"2",3,"1",1,1,172.45833333333334,1,0,"0",153.2962962962963
"1",1,"24",3,6,"2384",2,3,"4",3,2,"4",3,"64",0,2,"1",3,"1",0,1,99.33333333333331,4,0,"1",37.25
"1",3,"6",3,2,"1538",2,2,"1",0,2,"2",2,"56",1,1,"1",1,"1",0,1,256.3333333333333,3,4,"0",27.464285714285715
"1",3,"60",3,4,"6527",4,0,"4",3,2,"4",2,"34",1,0,"1",1,"2",1,1,108.78333333333332,1,2,"0",191.97058823529412
"1",0,"36",2,4,"2862",0,3,"4",3,2,"3",2,"30",1,0,"1",1,"1",0,1,79.5,1,1,"0",95.4
"1",1,"6",1,4,"4716",4,2,"1",3,2,"3",3,"44",1,1,"2",3,"2",0,1,786.0,2,4,"0",107.1818181818182
"1",3,"24",3,6,"2284",2,1,"4",3,2,"2",0,"28",1,1,"1",1,"1",1,1,95.16666666666669,1,0,"0",81.57142857142857
"1",3,"6",3,9,"1236",1,0,"2",3,2,"4",1,"50",1,2,"1",1,"1",0,1,206.0,3,4,"1",24.72
"1",3,"18",1,6,"1800",2,0,"4",3,2,"2",0,"24",1,1,"2",1,"1",0,1,100.0,0,0,"0",75.0
"1",2,"15",3,2,"1905",2,3,"4",3,2,"4",0,"40",1,2,"1",0,"1",1,1,127.0,2,0,"1",47.625
"1",0,"30",2,0,"2503",0,3,"4",3,2,"2",1,"41",2,1,"2",1,"1",0,1,83.43333333333334,2,1,"0",61.04878048780488
"1",3,"18",1,6,"629",1,3,"4",3,2,"3",1,"32",0,1,"2",0,"1",1,1,34.94444444444444,1,0,"0",19.65625
"1",3,"30",1,6,"3077",4,3,"3",3,2,"2",0,"40",1,1,"2",1,"2",1,1,102.56666666666666,2,1,"0",76.925
"1",3,"18",3,6,"1505",2,0,"4",3,2,"2",2,"32",1,0,"1",0,"1",1,1,83.61111111111111,1,0,"0",47.03125
"2",0,"48",0,0,"6416",2,3,"4",0,2,"3",2,"59",1,2,"1",1,"1",0,1,133.66666666666666,3,2,"1",108.7457627118644
"1",3,"24",3,9,"2603",3,0,"2",0,2,"4",0,"28",1,2,"1",1,"1",1,1,108.45833333333331,1,0,"1",92.96428571428572
"1",3,"4",1,4,"3380",2,1,"1",0,2,"1",3,"37",1,1,"1",1,"2",0,1,845.0,2,4,"0",91.35135135135135
"1",1,"24",0,3,"2483",1,0,"4",3,2,"4",3,"22",2,1,"1",1,"1",1,1,103.45833333333331,0,0,"0",112.86363636363636
"1",1,"13",1,0,"1797",2,2,"3",3,2,"1",1,"28",0,1,"2",3,"1",0,1,138.23076923076923,1,0,"0",64.17857142857143
"1",1,"15",3,4,"2511",2,4,"1",0,2,"4",0,"23",1,2,"1",1,"1",0,1,167.4,0,0,"1",109.17391304347828
"1",1,"6",3,3,"428",2,3,"2",0,2,"1",1,"49",0,1,"1",1,"1",1,1,71.33333333333333,3,4,"0",8.73469387755102
"2",3,"12",2,7,"1555",3,3,"4",3,2,"4",2,"55",1,0,"2",1,"2",0,1,129.58333333333334,3,4,"0",28.272727272727273
"2",1,"24",3,4,"1285",4,1,"4",0,2,"4",2,"32",1,2,"1",1,"1",0,1,53.541666666666664,1,0,"1",40.15625
"1",0,"12",3,6,"1155",2,3,"3",2,1,"3",3,"40",0,1,"2",3,"1",0,1,96.25,2,4,"0",28.875
"1",1,"18",3,6,"3509",2,1,"4",0,1,"1",3,"25",1,1,"1",1,"1",0,1,194.94444444444449,0,0,"0",140.36
"1",0,"12",4,8,"1410",2,0,"2",3,2,"2",3,"31",1,1,"1",3,"1",1,1,117.5,1,4,"0",45.483870967741936
"1",0,"20",3,9,"6468",4,4,"1",1,2,"4",3,"60",1,1,"1",0,"1",1,1,323.4,3,0,"0",107.8
"1",3,"48",1,9,"2751",4,3,"4",3,2,"3",0,"38",1,1,"2",1,"2",1,1,57.3125,2,2,"0",72.39473684210526
"2",0,"21",3,0,"1188",2,3,"2",0,2,"4",1,"39",1,1,"1",1,"2",0,1,56.57142857142857,2,0,"0",30.46153846153846
"1",3,"24",3,9,"6313",4,3,"3",3,2,"4",0,"41",1,1,"1",0,"2",1,1,263.0416666666667,2,0,"0",153.97560975609755
"1",0,"12",3,4,"7472",4,4,"1",0,2,"2",3,"24",1,2,"1",2,"1",0,1,622.6666666666666,0,4,"1",311.3333333333333
"1",3,"12",1,6,"930",4,3,"4",3,2,"4",3,"65",1,1,"4",1,"1",0,1,77.5,4,4,"0",14.307692307692308
"2",0,"15",4,4,"1778",2,2,"2",0,2,"1",3,"26",1,2,"2",2,"1",0,1,118.53333333333332,1,0,"1",68.38461538461539
"2",1,"36",1,9,"9629",2,1,"4",3,2,"4",0,"24",1,1,"2",1,"1",1,1,267.47222222222223,0,1,"0",401.2083333333333
"1",3,"6",3,1,"1338",1,0,"1",1,2,"4",3,"62",1,1,"1",1,"1",0,1,223.0,4,4,"0",21.580645161290324
"1",3,"6",1,6,"1554",2,1,"1",0,2,"2",0,"24",1,2,"2",1,"1",1,1,259.0,0,4,"1",64.75
"2",1,"36",3,3,"2712",2,3,"2",3,2,"2",1,"41",0,1,"1",1,"2",0,1,75.33333333333333,2,1,"0",66.14634146341463
"1",3,"24",2,0,"2375",1,0,"4",3,2,"2",0,"44",1,1,"2",1,"2",1,1,98.95833333333331,2,0,"0",53.97727272727273
"2",2,"15",3,6,"2327",2,2,"2",0,2,"3",3,"25",1,1,"1",3,"1",0,1,155.13333333333333,0,0,"0",93.08
"2",1,"12",4,4,"1082",2,0,"4",3,2,"4",0,"48",0,1,"2",1,"1",0,1,90.16666666666669,3,4,"0",22.541666666666668
"2",3,"18",3,7,"1943",2,2,"4",0,2,"4",3,"23",1,1,"1",1,"1",0,1,107.94444444444444,0,0,"0",84.47826086956522
"1",3,"24",1,9,"4042",4,1,"3",3,2,"4",1,"43",1,1,"2",1,"1",1,1,168.41666666666666,2,0,"0",94.0
"1",3,"15",1,6,"1471",2,0,"4",3,2,"4",2,"35",1,0,"2",1,"1",1,1,98.06666666666666,1,0,"0",42.02857142857143
"1",3,"36",2,4,"10875",2,3,"2",3,2,"2",0,"45",1,1,"2",1,"2",1,1,302.0833333333333,2,1,"0",241.66666666666663
"1",3,"9",3,4,"3577",0,0,"1",3,1,"2",3,"26",1,2,"1",1,"2",0,0,397.44444444444446,1,4,"1",137.57692307692307
"1",3,"36",3,6,"3595",2,3,"4",3,2,"2",0,"28",1,1,"1",1,"1",0,1,99.86111111111111,1,1,"0",128.39285714285714
"1",0,"30",1,4,"2181",4,3,"4",3,2,"4",3,"36",1,1,"2",1,"1",0,1,72.7,2,1,"0",60.583333333333336
"1",3,"36",1,4,"6614",2,3,"4",3,2,"4",0,"34",1,1,"2",0,"1",1,1,183.72222222222223,1,1,"0",194.52941176470588
"1",3,"36",2,9,"8947",4,1,"3",3,2,"2",0,"31",2,1,"1",0,"2",1,1,248.52777777777777,1,1,"0",288.61290322580646
"1",3,"12",1,3,"1592",3,1,"3",0,2,"2",1,"35",1,1,"1",1,"1",0,0,132.66666666666666,1,4,"0",45.48571428571429
"2",1,"16",1,4,"2625",2,3,"2",3,1,"4",1,"43",0,2,"1",1,"1",1,1,164.0625,2,0,"1",61.04651162790697
"1",1,"21",3,4,"3763",4,1,"2",3,0,"2",3,"24",1,1,"1",3,"1",0,0,179.1904761904762,0,0,"0",156.79166666666666
"2",1,"24",3,3,"2359",0,4,"1",1,2,"1",1,"33",1,1,"1",1,"1",0,1,98.29166666666669,1,0,"0",71.48484848484848
"1",3,"18",1,3,"1817",2,0,"4",0,2,"2",2,"28",1,1,"2",1,"1",0,1,100.94444444444444,1,0,"0",64.89285714285714
"1",3,"48",2,6,"12749",1,1,"4",3,2,"1",0,"37",1,1,"1",0,"1",1,1,265.6041666666667,2,2,"0",344.56756756756755
"1",1,"18",1,3,"1049",2,2,"4",0,2,"4",1,"21",1,2,"1",1,"1",0,1,58.27777777777778,0,0,"1",49.95238095238095
"1",3,"30",3,6,"1867",4,3,"4",3,2,"4",0,"58",1,1,"1",1,"1",1,1,62.233333333333334,3,1,"0",32.189655172413794
"2",0,"9",3,6,"1670",2,2,"4",0,2,"2",0,"22",1,1,"1",1,"1",1,1,185.55555555555551,0,4,"0",75.9090909090909
"1",3,"12",1,6,"522",1,3,"4",3,2,"4",1,"42",1,1,"2",1,"2",1,1,43.5,2,4,"0",12.428571428571429
"1",3,"12",3,4,"3527",4,2,"2",3,2,"3",1,"45",1,1,"1",0,"2",1,1,293.9166666666667,2,4,"0",78.37777777777778
"2",0,"24",3,9,"4113",1,2,"3",0,2,"4",0,"28",1,2,"1",1,"1",0,1,171.375,1,0,"1",146.89285714285714
"2",3,"36",3,3,"10974",2,4,"4",0,2,"2",0,"26",1,1,"2",0,"1",1,1,304.8333333333333,1,1,"0",422.0769230769231
"1",3,"15",3,4,"3556",4,0,"3",3,2,"2",2,"29",1,1,"1",1,"1",0,1,237.06666666666663,1,0,"0",122.6206896551724
"2",3,"24",3,6,"2397",1,3,"3",3,2,"2",0,"35",0,1,"2",1,"1",1,1,99.875,1,0,"0",68.48571428571428
"1",0,"30",3,6,"1715",4,0,"4",0,2,"1",0,"26",1,1,"1",1,"1",0,1,57.166666666666664,1,1,"0",65.96153846153847
"1",3,"42",3,6,"7166",4,1,"2",2,2,"4",1,"29",1,2,"1",1,"1",1,1,170.61904761904762,1,2,"1",247.1034482758621
"2",1,"60",3,0,"7297",2,3,"4",3,0,"4",2,"36",1,2,"1",1,"1",0,1,121.61666666666666,2,2,"1",202.69444444444449
"1",0,"6",3,6,"753",2,0,"2",0,1,"3",3,"64",1,1,"1",1,"1",0,1,125.5,4,4,"0",11.765625
"2",3,"24",2,4,"2538",2,3,"4",3,2,"4",0,"47",1,1,"2",3,"2",0,1,105.75,3,0,"0",54.0
"1",2,"21",3,4,"2923",0,0,"1",0,2,"1",0,"28",0,1,"1",0,"1",1,1,139.1904761904762,1,0,"0",104.39285714285714
"2",1,"36",3,9,"8229",2,0,"2",3,2,"2",1,"26",1,1,"1",1,"2",0,1,228.58333333333337,1,1,"0",316.5
"1",3,"15",0,6,"1569",0,3,"4",3,2,"4",0,"34",0,1,"1",3,"2",0,1,104.6,1,0,"0",46.14705882352941
"2",1,"45",3,6,"1845",2,0,"4",3,2,"4",2,"23",1,0,"1",1,"1",1,1,41.0,0,2,"0",80.21739130434783
